Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,John Starks,SG,35,UTA,3,0,36,4,12,0.333,1,4,0.25,3,8,0.375,0.375,2,2,1,0,3,3,1,1,1,2,5,11
2001,DeShawn Stevenson,SG,19,UTA,1,0,8,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,1,1,0,0,0,1,0,2
2001,Michael Stewart,C,25,TOR,2,0,4,0,1,0,0,0,,0,1,0,0,0,0,,1,0,1,0,0,0,0,0,0
2001,John Stockton*,PG,38,UTA,5,5,186,17,37,0.459,0,8,0,17,29,0.586,0.459,15,21,0.714,11,17,28,57,10,3,7,19,49
2001,Peja Stojakovic,SF,23,SAC,8,8,307,52,128,0.406,9,26,0.346,43,102,0.422,0.441,60,62,0.968,17,34,51,3,5,3,18,17,173
2001,Damon Stoudamire,PG,27,POR,3,3,114,19,46,0.413,2,13,0.154,17,33,0.515,0.435,13,13,1,1,8,9,13,2,1,9,6,53
2001,Rod Strickland,PG,34,POR,2,0,19,2,6,0.333,0,0,,2,6,0.333,0.333,4,6,0.667,2,2,4,2,2,0,1,1,8
2001,Wally Szczerbiak,SF,23,MIN,4,4,143,18,37,0.486,0,1,0,18,36,0.5,0.486,20,25,0.8,4,14,18,10,5,3,12,6,56
2001,Zan Tabak,C,30,IND,2,2,10,0,4,0,0,0,,0,4,0,0,1,2,0.5,3,0,3,0,0,0,0,2,1
2001,Kurt Thomas,PF,28,NYK,5,5,186,25,47,0.532,0,0,,25,47,0.532,0.532,22,31,0.71,17,39,56,9,2,5,9,26,72
2001,Tim Thomas,PF,23,MIL,18,0,479,64,143,0.448,22,51,0.431,42,92,0.457,0.524,53,65,0.815,22,59,81,29,9,10,21,52,203
2001,Otis Thorpe,PF,38,CHH,8,0,57,2,9,0.222,0,0,,2,9,0.222,0.222,0,0,,6,11,17,0,0,0,2,8,4
2001,Jake Tsakalidis,C,21,PHO,4,4,75,6,16,0.375,0,0,,6,16,0.375,0.375,0,0,,10,18,28,0,0,7,1,11,12
2001,Hedo Turkoglu,SF,21,SAC,8,0,141,20,46,0.435,8,14,0.571,12,32,0.375,0.522,12,12,1,7,21,28,11,3,1,6,18,60
2001,Jacque Vaughn,PG,25,UTA,5,0,57,1,10,0.1,1,2,0.5,0,8,0,0.15,0,0,,0,2,2,8,0,1,1,13,3
2001,Samaki Walker,PF,24,SAS,12,0,76,5,15,0.333,0,0,,5,15,0.333,0.333,4,8,0.5,5,9,14,3,1,1,1,12,14
2001,Rasheed Wallace,PF,26,POR,3,3,128,19,51,0.373,4,11,0.364,15,40,0.375,0.412,8,14,0.571,5,19,24,7,1,3,4,9,50
